iter	RMSE
0	0.1395926502
1	0.1370673011
2	0.134561172
3	0.1321713315
4	0.1298097593
5	0.1275107239
6	0.125232538
7	0.1230285582
8	0.1208524476
9	0.1187365586
10	0.1166829716
11	0.1146318699
12	0.1127335854
13	0.1108205851
14	0.1089338717
15	0.1070536985
16	0.1052203491
17	0.1034513193
18	0.1016674601
19	0.09998451929
20	0.09832206831
21	0.09668880272
22	0.09505800502
23	0.09347939982
24	0.09193719615
25	0.09044508451
26	0.08896716051
27	0.08752968501
28	0.08613060683
29	0.08473664733
30	0.08339787816
31	0.08206659819
32	0.08080955404
33	0.07955776118
34	0.07833641889
35	0.07712750168
36	0.07594281282
37	0.07480170497
38	0.07366770375
39	0.07255324383
40	0.07150637828
41	0.07045606317
42	0.06942095535
43	0.068410533
44	0.06742138008
45	0.06647532245
46	0.06552098906
47	0.06462011466
48	0.06372220311
49	0.06285039573
50	0.06199210425
51	0.06115081363
52	0.06033589025
53	0.05954872574
54	0.05878210516
55	0.05803494067
56	0.057335193
57	0.05663081821
58	0.05593481421
59	0.0552441541
60	0.05456473965
61	0.05392688732
62	0.0532855086
63	0.05265535386
64	0.05204903141
65	0.05145136241
66	0.05087344042
67	0.05031333936
68	0.04976196707
69	0.04923044119
70	0.04870170515
71	0.0482033076
72	0.04769751932
73	0.04722056431
74	0.04672813634
75	0.04627190074
76	0.04581337945
77	0.0453715635
78	0.04493745437
79	0.04453036889
80	0.04413764062
81	0.04375499933
82	0.04337079412
83	0.04301139736
84	0.04265133472
85	0.04231289237
86	0.04196146688
87	0.0416350067
88	0.04132290646
89	0.04098935649
90	0.04068467154
91	0.04040104869
92	0.04011880033
93	0.03983433345
94	0.03954655406
95	0.03927662104
96	0.03899977704
97	0.03874812192
98	0.03849528125
99	0.03823833099
100	0.03800707063
101	0.03778644361
102	0.03756874202
103	0.0373698806
104	0.03716981651
105	0.03696145295
106	0.03676794345
107	0.03656415686
108	0.03637271747
109	0.03618578528
110	0.03600637663
111	0.03583318773
112	0.03566584725
113	0.03549949225
114	0.03534129317
115	0.03518555816
116	0.0350290357
117	0.03488917529
118	0.03475194119
119	0.034609662
120	0.03447455559
121	0.03434456974
122	0.03422815767
123	0.03410614615
124	0.03398193826
125	0.03386247824
126	0.03375132431
127	0.03364955082
128	0.0335427351
129	0.03343598409
130	0.03332758891
131	0.03323632299
132	0.03314776217
133	0.03305080316
134	0.03296433441
135	0.03287517679
136	0.03279030811
137	0.03270976485
138	0.0326304785
139	0.03254688667
140	0.03246714481
141	0.03239043991
142	0.03231544983
143	0.03224940199
144	0.03217688027
145	0.03211267964
146	0.03205019731
147	0.03198649562
148	0.03191723266
149	0.03185705364
150	0.03180032298
151	0.03173896769
152	0.03168279286
153	0.03162839307
154	0.03157743237
155	0.03153015801
156	0.0314790961
157	0.03143562138
158	0.03139200274
159	0.03134024544
160	0.03129452884
161	0.03124377011
162	0.03120827223
163	0.03116404321
164	0.03111282419
165	0.03107215457
166	0.03102598635
167	0.03098132212
168	0.03094350858
169	0.03089755537
170	0.0308580559
171	0.03081917617
172	0.03078478965
173	0.03075261381
174	0.03072343658
175	0.03068677267
176	0.03065083766
177	0.03062050311
178	0.03059477751
179	0.03056053857
180	0.03053126364
181	0.03049422702
182	0.03046585996
183	0.03043744236
184	0.03040917659
185	0.03038168186
186	0.03034995728
187	0.03032186222
188	0.03029273708
189	0.03026852689
190	0.03024562861
191	0.03021846676
192	0.03018893293
193	0.03015690485
194	0.03012851538
195	0.03010374531
196	0.03008430649
197	0.03006495958
198	0.03004198895
199	0.03002123856
200	0.02999323284
201	0.02997070672
202	0.02995077776
203	0.02993259318
204	0.02991503374
205	0.02988983004
206	0.02986632067
207	0.02984517219
208	0.02982389787
209	0.02980478578
210	0.02977789338
211	0.02975821944
212	0.02973836431
213	0.02972491649
214	0.02970563177
215	0.02968995486
216	0.02967606001
217	0.02966102411
218	0.02963856952
219	0.02961992904
220	0.02959440648
221	0.02957748308
222	0.02955563218
223	0.029533581
224	0.02951223997
225	0.02949910524
226	0.0294829162
227	0.0294694473
228	0.02945293708
229	0.02942901148
230	0.02941502122
231	0.02940318582
232	0.02938996465
233	0.0293712806
234	0.02934686223
235	0.02933219665
236	0.02931535016
237	0.0292972504
238	0.02928243912
239	0.02926969985
240	0.02925006185
241	0.0292293321
242	0.029213998
243	0.0291981902
244	0.02918152037
245	0.02916629832
246	0.02915117186
247	0.02914124347
248	0.02912563483
249	0.02911557833
250	0.0291033008
251	0.02908300475
252	0.02906837662
253	0.0290517396
254	0.02903733178
255	0.02902707584
256	0.0290128735
257	0.02899794938
258	0.02897944516
259	0.02896761332
260	0.02895257638
261	0.02894158646
262	0.02892917462
263	0.02892024962
264	0.02890810432
265	0.02889497392
266	0.02888574922
267	0.02887501322
268	0.02886055953
269	0.02884683323
270	0.02883499292
271	0.02882160268
272	0.02880526462
273	0.02879756819
274	0.02878680147
275	0.0287774841
276	0.02876667938
277	0.02875621867
278	0.02874822856
279	0.02873715348
280	0.02872574358
281	0.0287130267
282	0.02870206764
283	0.02869018528
284	0.02868215574
285	0.02866550732
